index,start_date,time_period_id,end_date
0,2017-08-24,2,2017-10-08
1,2017-10-08,3,2017-11-27
2,2017-11-27,4,2017-12-24
3,2017-12-24,5,2018-01-28
4,2018-01-28,6,2018-03-04
5,2018-03-04,7,2018-03-26
6,2018-03-26,8,2018-05-07
7,2018-05-07,9,2018-06-18
8,2018-06-18,10,2018-07-23
9,2018-07-23,11,2018-08-27
10,2018-08-27,12,2018-10-01
11,2018-10-01,13,2018-11-05
12,2018-11-05,14,2018-12-03
13,2018-12-03,15,2019-01-03
14,2019-01-03,16,2019-01-28
15,2019-01-28,17,2019-02-04
16,2019-02-04,18,2019-03-04
17,2019-03-04,19,2019-04-01
18,2019-04-01,20,2019-04-29
19,2019-04-29,21,2019-05-27
20,2019-05-27,22,2019-06-24
21,2019-06-24,23,2019-07-22
22,2019-07-22,24,2019-08-19
23,2019-08-19,25,2019-09-16
24,2019-09-16,26,2019-10-14
25,2019-10-14,27,2019-11-11
26,2019-11-11,28,2019-12-09
27,2019-12-09,29,2020-01-06
